StudentID,AcademicCollege,AcademicDepartment,AcademicMajor,EnrollmentTerm,TermSeason,TermYear,CohortYear,FirstTimeStatus,CreditsAttempted,FullTimeStatus,GPA,RetainedNextFall
S00001,Engineering,Computer Engineering,Computer Engineering Major,Fall 2023,Fall,2023,2023,First-Time,9,Part-Time,2.75,Retained
S00001,Engineering,Computer Engineering,Computer Engineering Major,Spring 2024,Spring,2024,2023,Continuing,17,Full-Time,2.47,
S00001,Engineering,Computer Engineering,Computer Engineering Major,Summer 2024,Summer,2024,2023,Continuing,11,Full-Time,2.95,
S00001,Engineering,Computer Engineering,Computer Engineering Major,Fall 2024,Fall,2024,2023,Continuing,15,Full-Time,2.93,Retained
S00001,Engineering,Computer Engineering,Computer Engineering Major,Spring 2025,Spring,2025,2023,Continuing,16,Full-Time,2.44,
S00001,Engineering,Computer Engineering,Computer Engineering Major,Summer 2025,Summer,2025,2023,Continuing,10,Full-Time,2.34,
S00002,Business,Information Systems,Information Systems Major,Fall 2023,Fall,2023,2024,Continuing,13,Full-Time,2.15,Retained
S00002,Business,Information Systems,Information Systems Major,Spring 2024,Spring,2024,2024,Continuing,13,Full-Time,2.19,
S00002,Business,Information Systems,Information Systems Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,2.82,
S00002,Business,Information Systems,Information Systems Major,Fall 2024,Fall,2024,2024,First-Time,12,Full-Time,1.94,Retained
S00002,Business,Information Systems,Information Systems Major,Spring 2025,Spring,2025,2024,Continuing,13,Full-Time,2.24,
S00002,Business,Information Systems,Information Systems Major,Summer 2025,Summer,2025,2024,Continuing,9,Full-Time,2.36,
S00003,Business,Accounting,Accounting Major,Fall 2023,Fall,2023,2024,Continuing,16,Full-Time,3.09,Not Retained
S00003,Business,Accounting,Accounting Major,Spring 2024,Spring,2024,2024,Continuing,12,Full-Time,2.34,
S00003,Business,Accounting,Accounting Major,Summer 2024,Summer,2024,2024,Continuing,6,Full-Time,2.98,
S00003,Business,Accounting,Accounting Major,Fall 2024,Fall,2024,2024,First-Time,16,Full-Time,2.86,Retained
S00003,Business,Accounting,Accounting Major,Spring 2025,Spring,2025,2024,Continuing,9,Part-Time,3.1,
S00003,Business,Accounting,Accounting Major,Summer 2025,Summer,2025,2024,Continuing,7,Full-Time,2.56,
S00004,Engineering,Civil Engineering,Civil Engineering Major,Fall 2023,Fall,2023,2023,First-Time,16,Full-Time,2.95,Retained
S00004,Engineering,Civil Engineering,Civil Engineering Major,Spring 2024,Spring,2024,2023,Continuing,13,Full-Time,3.29,
S00004,Engineering,Civil Engineering,Civil Engineering Major,Summer 2024,Summer,2024,2023,Continuing,9,Full-Time,2.63,
S00004,Engineering,Civil Engineering,Civil Engineering Major,Fall 2024,Fall,2024,2023,Continuing,15,Full-Time,3,Retained
S00004,Engineering,Civil Engineering,Civil Engineering Major,Spring 2025,Spring,2025,2023,Continuing,11,Part-Time,3.25,
S00004,Engineering,Civil Engineering,Civil Engineering Major,Summer 2025,Summer,2025,2023,Continuing,3,Part-Time,3.39,
S00005,Arts & Sciences,Mathematics,Mathematics Major,Fall 2023,Fall,2023,2024,Continuing,12,Full-Time,2.62,Retained
S00005,Arts & Sciences,Mathematics,Mathematics Major,Spring 2024,Spring,2024,2024,Continuing,15,Full-Time,3.08,
S00005,Arts & Sciences,Mathematics,Mathematics Major,Summer 2024,Summer,2024,2024,Continuing,5,Part-Time,3.42,
S00005,Arts & Sciences,Mathematics,Mathematics Major,Fall 2024,Fall,2024,2024,First-Time,14,Full-Time,3.09,Not Retained
